order_id    order_date customer_id customer_name                                                                                                                                          product_name                                                                                                                                                                                             category                                                                                             quantity    unit_price                              revenue
----------- ---------- ----------- ------------------------------------------------------------------------------------------------------------------------------------------------------ -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------- ----------- --------------------------------------- ---------------------------------------
21          2024-05-12 21          Wiktoria Lewandowska                                                                                                                                   iPhone 15 Pro                                                                                                                                                                                            Electronics                                                                                          1           4999.99                                 4999.99
22          2024-06-03 22          Sebastian Kamiński                                                                                                                                     Samsung Galaxy S24                                                                                                                                                                                       Electronics                                                                                          1           3999.99                                 3999.99
23          2024-01-08 23          Marta Zielińska                                                                                                                                        iPhone 14                                                                                                                                                                                                Electronics                                                                                          1           3499.99                                 3499.99
24          2024-02-20 24          Dawid Wiśniewski                                                                                                                                       Nike Air Max 270                                                                                                                                                                                         Clothing                                                                                             1           599.99                                  599.99
25          2024-03-25 25          Patrycja Michalska                                                                                                                                     Robot sprzątający Xiaomi                                                                                                                                                                                 Home & Garden                                                                                        1           899.99                                  899.99
26          2024-04-15 26          Grzegorz Krawczyk                                                                                                                                      Odkurzacz bezprzewodowy Dyson                                                                                                                                                                            Home & Garden                                                                                        1           2199.99                                 2199.99
27          2024-05-28 27          Monika Nowak                                                                                                                                           Hantle regulowane 2x20kg                                                                                                                                                                                 Sports                                                                                               1           349.99                                  349.99
28          2024-06-15 28          Kamil Jabłoński                                                                                                                                        Samsung QLED TV 55"                                                                                                                                                                                      Electronics                                                                                          1           2899.99                                 2899.99
29          2024-01-18 29          Izabela Kowalska                                                                                                                                       Kurtka zimowa The North Face                                                                                                                                                                             Clothing                                                                                             1           899.99                                  899.99
30          2024-02-05 30          Tomasz Zając                                                                                                                                           MacBook Air M3                                                                                                                                                                                           Electronics                                                                                          1           5999.99                                 5999.99

(49 wierszy, które zostały naruszone)


Czas ukończenia: 2026-04-21T21:30:13.8387065+02:00
